abandon,放弃+放纵
abash,使害羞+使尴尬
abate,减轻+减少
abbreviate,缩短+缩写
abdicate,退位+辞职+放弃
aberrant,越轨的+异常的
aberration,离开正路+脱离常轨+变形
abet,教唆+鼓励+帮助
abeyance,中止+搁置
abhor,憎恨+嫌恶
abhorrent,可恨的+讨厌的
abide,容忍+忍受
abject,极可怜的;卑下的
abjure,发誓放弃
ablution,(宗教的)净礼+沐浴
abnegate,否认+放弃
abolish,废止+废除(法律、制度、习俗等)
abolition,废除+革除
abominate,痛恨+厌恶
aboveboard,ad光明正大的(地)
abrade,磨损+磨小
abrasion,表面磨损
abrasive,磨损的+生硬粗暴的
abreast,ad并列+并排
abridge,删减+缩短
abrogate,废止+废除
abscission,[医]切除+截去+[植]脱离
abscond,潜逃+逃亡
absenteeism,旷课+旷工
absolute,绝对的+完全的; 无(条件)限制的
absolve,赦免+免除
absorb,吸收+同化+吸引…的注意
abstain,禁绝+放弃
abstemious,有节制的+节俭的
abstention,节制
abstentious,节制的
abstract,摘要+抽象的
abstruse,难懂的+深奥的
absurd,荒谬的+可笑的
abundance,充裕+多量
abundant,丰富的+盛产的
abuse,辱骂; 滥用
abusive,漫骂的+毁谤的+虐待的
abut,接界+毗连
abysmal,极深的+糟透的
academic,学院的+学术的+理论的
academician,院士+学会会员
accede,同意
accelerate,加速+促进
accentuate,重读+强调
access,通路+途径
accessible,易达到的+易受影响的
accessory,附属的+次要的
acclaim,欢呼+称赞
acclimate,使服水土; 使适应
accolade,推崇+赞扬
accommodate,与…一致+提供食宿
accommodating,乐于助人的
accompany,伴随+陪伴
accomplice,同谋者+帮凶
accomplish,完成+做成功
accomplished,完成了的+有技巧的+有造诣的
accord,同意+一致
accost,搭话
accountability,负有责任
accrete,逐渐增长+添加生长+连生
accretion,自然的增加+增加物
accrue,(利息等)增大+增多
accumulate,积聚+积累
accuracy,精确+准确
accurate,精确的+准确的
accuse,谴责+指责
acerbic,苦涩的+刻薄的
acknowledge,承认+致谢
acme,顶点+极点
acolyte,(教士的)助手+侍僧
acorn,橡子+橡果
acoustic,听觉的+有关声音的
acquaint,使…熟知+通知
acquaintance,熟知+熟人
acquainted,对某事物熟悉的+对某人认识的
acquiesce,勉强同意+默许
acquired,后天习得的
acquisitive,渴望得到的+贪婪的
acquit,宣告无罪+脱卸义务和责任+还清(债务)
acquittal,宣告无罪+开释
acrid,辛辣的+刻薄的
acrimonious,尖刻的+严厉的
acrimony,尖刻+刻薄
acrobat,特技演员+杂技演员
acrophobia,恐高症
acuity,(尤指思想或感官)敏锐
acumen,敏锐+精明
acute,灵敏的+[病]急性的
adage,格言+古训
adamant,强硬的+固执的
adapt,使…适应+修改
adaptable,有适应能力的+可改编的
addendum,补充+附录
addict,沉溺+上瘾(者)
addition,增加+附加
additive,添加剂
address,处理+对付+着手解决+致词
adept,老练的+精通的
adequate,足够的
adhere,粘着
adherent,拥护者+信徒
adhesive,带粘性的+胶粘的+胶合剂
adjacent,接近的+毗连的
adjourn,使延期+推迟+休会
adjunct,附加物+附件
adjust,整顿+整理+适应
admire,钦佩+赞赏
admission,许可+入会费+承认
admonish,训诫+警告
adobe,泥砖+土坯
adolescent,青春期的+青少年
adopt,收养+采纳
adore,崇拜+热爱
adorn,装饰
adroit,熟练的+灵巧的
adulate,谄媚+奉承
adulterate,掺假
adumbrate,(对将来事件)预示
advent,到来+来临
adventitious,偶然的
adverse,不利的+相反的+敌对
advertise,做广告
advisable,适当的+可行的
advocacy,拥护+支持
advocate,拥护+支持+鼓吹+支持者+拥护者
aegis,盾+保护+庇护
aerate,充气+让空气进入
aerial,空中的+空气中的
aesthete,审美家
aesthetic,美学的+有审美感的
affable,易于交谈的+和蔼的
affectation,做作+虚假
affected,不自然的+假装的
affection,爱
affidavit,宣誓书
affiliate,加入+联合
affiliation,联系+联合
affinity,密切关系+吸引力
affirm,确认+肯定
affix,粘上+贴上+在合同上添写某事物+词缀
afflict,使痛苦+折磨
affliction,悲痛+受难的起因
affluence,充裕+富足
affluent,富裕的+丰富的
affordable,能够支付的
affront,侮辱+冒犯
agenda,议程
agglomerate,凝聚+结块
aggrandize,增大+扩张+吹棒
aggravate,加重+恶化
aggregate,集合+合计
aggression,侵略+敌对的情绪或行为
aggressive,好斗的+进取的
aggressor,侵略者+攻击者
aggrieve,使受委屈+使痛苦
agile,敏捷的+灵活的
agility,敏捷
agitate,搅动+煽动+使不安+使焦虑
agitated,被鼓动的+不安的
agnostic,不可知论的
agog,兴奋的+有强烈兴趣的
agony,极大痛苦
agrarian,土地的
